Rank,Figure ID,Name,Role,Group,Event Count,Priority Score,Tags
1,all-india-muslim-league,All-India Muslim League,Political Party in British India,organization,6,245,"1947, partition, pakistan-movement"
2,indian-national-congress,Indian National Congress,Political Party in British India,organization,6,245,"1947, partition, congress-politics"
3,islam-khan-chishti,Islam Khan Chishti,Subahdar associated with final consolidation in Bengal,leader,4,220,"mughal, dhaka, consolidation"
4,nusrat-shah,Nusrat Shah,Hussain Shahi ruler in the Afghan-Mughal transition era,leader,4,220,"bengal-history, rulership, political-transition"
5,ashrafuzzaman-khan,Ashrafuzzaman Khan,Al-Badr figure convicted in absentia in the intellectual-killings case,leader,3,190,"1971, al-badr, intellectual-killings, war-crimes-trial, ict"
6,chand-rai,Chand Rai,Regional landed-military figure linked to Bhati resistance context,leader,3,190,"bengal-history, rulership, political-transition"
7,chowdhury-mueen-uddin,Chowdhury Mueen Uddin,Al-Badr figure convicted in absentia in the intellectual-killings case,leader,3,190,"1971, al-badr, intellectual-killings, war-crimes-trial, ict"
8,kedar-rai,Kedar Rai,Regional chief associated with anti-Mughal resistance networks,leader,3,190,"bengal-history, rulership, political-transition"
9,krishnachandra-ray-of-nadia,Krishnachandra Ray of Nadia,Nadia ruler linked to mid-18th-century political realignments,leader,3,190,"bengal-history, rulership, political-transition"
10,lakshmana-sena,Lakshmana Sena,Last major Sena ruler before Turkic conquest phase,leader,3,190,"bengal-history, rulership, political-transition"
11,mukunda-ray-of-bhusna,Mukunda Ray of Bhusna,Regional chief associated with confederate resistance milieu,leader,3,190,"bengal-history, rulership, political-transition"
12,musa-khan,Musa Khan,Successor figure in Baro-Bhuyans resistance,leader,3,190,"baro-bhuyans, bhati, mughal-era"
13,nawab-abdul-latif,Nawab Abdul Latif,Muslim education reform advocate in Bengal,leader,3,190,"education, reform, muslim-history, bengal"
14,pratapaditya,Pratapaditya,Jessore ruler associated with late-16th/early-17th-century regional autonomy struggles,leader,3,190,"bengal-history, rulership, political-transition"
15,rao-farman-ali,Rao Farman Ali,Pakistan Army major general linked to Operation Searchlight planning and intellectual-killings allegations,leader,3,190,"1971, operation-searchlight, pakistan-army, intellectual-killings, war-crimes-memory, military-command"
16,shaista-khan,Shaista Khan,Mughal subahdar linked to the Chittagong campaign,leader,3,190,"mughal, chittagong, 1666, frontier"
17,syed-ameer-ali,Syed Ameer Ali,Jurist and Muslim political intellectual,leader,3,190,"law, politics, muslim-history, colonial"
18,pakistan-peoples-party,Pakistan Peoples Party,Political Party in Pakistan,organization,3,155,"1971, liberation-war, military-command, political-leadership"
19,abul-kalam-azad-bachchu-razakar,Abul Kalam Azad (Bachchu Razakar),Fugitive ICT convict known as Bachchu Razakar,leader,2,160,"1971, razakar, war-crimes-trial, ict, bachchu-razakar, in-absentia"
20,alauddin-husain-shah,Alauddin Husain Shah,Sultan associated with the high phase of the Hussain Shahi period,leader,2,160,"bengal-history, rulership, political-transition"
21,asaduzzaman-khan-kamal,Asaduzzaman Khan Kamal,Former home minister linked to security-force accountability debates,leader,2,160,"bangladesh, home-ministry, security-forces, state-crackdown, 2018, 2024, accountability"
22,atm-azharul-islam,ATM Azharul Islam,Jamaat leader in contested 1971 war-crimes proceedings,leader,2,160,"1971, jamaat-e-islami, war-crimes-trial, ict, appeal, legal-status-contested"
23,ballala-sena,Ballala Sena,Sena ruler tied to elite social ordering and royal consolidation,leader,2,160,"bengal-history, rulership, political-transition"
24,devapala,Devapala,Pala ruler linked to the high phase of Pala influence,leader,2,160,"bengal-history, rulership, political-transition"
25,dharmapala,Dharmapala,Pala ruler associated with imperial expansion in early medieval Bengal,leader,2,160,"bengal-history, rulership, political-transition"
26,dinabandhu-mitra,Dinabandhu Mitra,Playwright and Public Critic,leader,2,160,
27,fakhruddin-mubarak-shah,Fakhruddin Mubarak Shah,Sultan of Sonargaon,leader,2,160,
28,farrukhsiyar,Farrukhsiyar,Mughal emperor who formalized Bengal's nawabi phase,leader,2,160,"mughal, nawab, 1717, murshidabad"
29,gopala-i,Gopala I,Founder of the Pala dynasty in Bengal,leader,2,160,"bengal-history, rulership, political-transition"
30,harish-chandra-mukherjee,Harish Chandra Mukherjee,Journalist and Editor,leader,2,160,
31,humayun-mughal,Humayun,Mughal emperor in the Bengal campaign era,leader,2,160,"mughal, bengal, 1538, 1539"
32,ivy-rahman,Ivy Rahman,Awami League leader and August 21 attack victim,leader,2,160,"awami-league, political-violence, 2004"
33,jahanzeb-arbab,Jahanzeb Arbab,Pakistan Army brigade commander associated with 1971 operations,leader,2,160,"1971, pakistan-army, operation-searchlight, military-command, field-command"
34,jalaluddin-muhammad-shah,Jalaluddin Muhammad Shah,Sultan linked to post-Raja Ganesh political settlement,leader,2,160,"bengal-history, rulership, political-transition"
35,job-charnock,Job Charnock,East India Company Agent,leader,2,160,
36,k-m-obaidur-rahman,K. M. Obaidur Rahman,Politician,leader,2,160,"1971, liberation-war, political-leadership"
37,kazi-arif-ahmed,Kazi Arif Ahmed,Left political leader,leader,2,160,"1990, democracy, anti-ershad-movement, party-politics, civic-culture"
38,khadim-hussain-raja,Khadim Hussain Raja,Pakistan Army commander involved in Operation Searchlight planning,leader,2,160,"1971, operation-searchlight, pakistan-army, military-command, crackdown"
39,m-hamidullah-khan,Squadron Leader M. Hamidullah Khan,Sector 11 Commander (Later Phase),leader,2,160,"sector-11, north-central-front, command-transition"
40,major-ma-manzur,Major M. A. Manzur,Sector 8 and Sector 9 Commander (Later Phase),leader,2,160,"sector-8, sector-9, command-transition"
41,man-singh-i,Man Singh I,Mughal commander in Bengal campaigns,leader,2,160,"mughal, military, bengal-campaigns"
42,michael-madhusudan-dutt,Michael Madhusudan Dutt,Poet-dramatist and pioneer of modern Bengali literary form,leader,2,160,"poetry, drama, literature, modernity"
43,mir-qasim,Mir Qasim,Nawab of Bengal,leader,2,160,
44,mir-quasem-ali,Mir Quasem Ali,Jamaat-e-Islami and Al-Badr figure convicted in a 1971 war-crimes case,leader,2,160,"1971, al-badr, jamaat-e-islami, war-crimes-trial, chittagong, ict"
45,mk-bashar,Wing Commander M. K. Bashar,Sector 6 Commander,leader,2,160,"sector-6, northern-front, command"
46,mofazzal-haider-chaudhury,Mofazzal Haider Chaudhury,Academic and intellectual,leader,2,160,"1971, liberation-war, political-leadership, intellectual-history"
47,muhammad-kamaruzzaman,Muhammad Kamaruzzaman,Jamaat leader,leader,2,160,"1971, liberation-war, political-leadership"
48,mujibul-haque-chunnu,Mujibul Haque Chunnu,Politician,leader,2,160,
49,munim-khan,Munim Khan,Mughal Commander,leader,2,160,
50,nawab-abdul-ghani,Nawab Abdul Ghani,Dhaka Nawab and civic patron,leader,2,160,"dhaka, nawab, civic-history, muslim-history"
51,nawab-ali-chowdhury,Nawab Ali Chowdhury,Muslim education patron and politician,leader,2,160,
52,rafiq-uddin-ahmed,Rafiq Uddin Ahmed,Language movement martyr,leader,2,160,
53,raja-ganesh,Raja Ganesh,Regional ruler central to the 15th-century succession crisis in Bengal,leader,2,160,"bengal-history, rulership, political-transition"
54,raja-sitaram-ray,Raja Sitaram Ray,Regional zamindar power figure in early-18th-century Bengal,leader,2,160,"bengal-history, rulership, political-transition"
55,rokeya-kabir,Rokeya Kabir,Women rights organizer,leader,2,160,"1990, democracy, anti-ershad-movement, party-politics, civic-culture"
56,salahuddin-quader-chowdhury,Salahuddin Quader Chowdhury,Politician,leader,2,160,
57,selina-parvin,Selina Parvin,Journalist and editor,leader,2,160,"1971, liberation-war, political-leadership, intellectual-history"
58,shafiur-rahman,Shafiur Rahman,Language movement martyr,leader,2,160,
59,shah-alam-ii,Shah Alam II,Mughal Emperor,leader,2,160,
60,shah-ams-kibria,Shah A. M. S. Kibria,Diplomat and finance minister,leader,2,160,
61,shah-azizur-rahman,Shah Azizur Rahman,Politician and prime minister,leader,2,160,"1971, liberation-war, political-leadership"
62,shahidullah-kaiser,Shahidullah Kaiser,Writer and journalist,leader,2,160,"1971, liberation-war, political-leadership, intellectual-history"
63,shamsur-rahman,Shamsur Rahman,Poet and public intellectual,leader,2,160,"1990, democracy, anti-ershad-movement, party-politics, civic-culture"
64,sheikh-fazlul-haque-moni,Sheikh Fazlul Haque Moni,Political organizer,leader,2,160,"1971, liberation-war, political-leadership"
65,sher-shah-suri,Sher Shah Suri,Afghan ruler who defeated Humayun at Chausa,leader,2,160,"afghan, chausa, 1539, suri"
66,sikandar-shah,Sikandar Shah,Sultan of Bengal,leader,2,160,
67,siraj-sikder,Siraj Sikder,Revolutionary political leader,leader,2,160,
68,syed-amir-ali,Syed Amir Ali,Jurist and political thinker,leader,2,160,
69,syed-shamsul-haq,Syed Shamsul Haq,Poet and playwright,leader,2,160,"1971, liberation-war, political-leadership, intellectual-history, culture"
70,ziaul-ahsan,Ziaul Ahsan,Security and intelligence figure linked to disappearance and surveillance allegations,leader,2,160,"bangladesh, security-forces, intelligence, enforced-disappearance, aynaghar, surveillance, rab, accountability"
71,communist-party-of-india,Communist Party of India,Communist Political Party in Colonial and Postcolonial India,organization,2,125,"communist-party-of-india, cpi, tebhaga, left-politics, peasant-mobilization, party-politics"
72,forward-bloc,Forward Bloc,Anti-Colonial Political Party Associated with Subhas Chandra Bose,organization,2,125,"subhas-chandra-bose, anti-colonial, left-nationalism, partition, party-politics"
73,hindu-mahasabha,Hindu Mahasabha,Hindu Nationalist Political Organization in British India,organization,2,125,"hindu-mahasabha, partition, 1947, syama-prasad-mukherjee, party-politics"
74,jamiat-e-ulema-e-islam-bangladesh,Jamiat-e-Ulema-e-Islam Bangladesh,Religious-Political Party in Bangladesh,organization,2,125,
75,jatiya-party,Jatiya Party,Political Party in Bangladesh,organization,2,125,"1990, democracy, anti-ershad-movement, party-politics, caretaker-transition"
76,krishak-praja-party,Krishak Praja Party,Peasant-Oriented Political Party in Bengal,organization,2,125,
77,national-awami-party,National Awami Party,Left-Nationalist Political Party in Pakistan and Bangladesh,organization,2,125,"nap, left-politics, bhashani, 1969, farakka, party-politics"
78,abu-jafar-shamsuddin,Abu Jafar Shamsuddin,Writer and public intellectual in East Pakistan era,leader,1,130,"writer, journalism, culture, muslim-history"
79,abul-hussain,Abul Hussain,Writer and Modernist Thinker,leader,1,130,
80,akhtar-ahmed,Akhtar Ahmed,Election Commission senior secretary,leader,1,130,"election-commission, election-2026, administration"
