post_no,category,series,headline_bn,hook_bn,main_focus,reader_connection,historical_angle,modern_connection,format,image_concept,discussion_question_bn,seo_potential,follow_up_topic,priority,map_recommended
1,Bengal & Bangladesh history,ভুলে যাওয়া বাংলা,বাংলার নদী কি শুধু ভাঙে—নাকি শহরও বানায়?,যে নদী গতিপথ বদলায় সে-ই বন্দর বাজার ও মানুষের পরিচয় বদলে দেয়।,Delta migration river ports chars and shifting centres,Why places and family histories move,Rivers are political and economic infrastructure,Climate migration and changing river settlements,Map explainer,Layered delta map with one highlighted channel,আপনার এলাকার পুরোনো নদীর নাম কী?,Bengal rivers and delta history,নদী সরে গেলে শহরের কী হয়?,High,Yes
2,South Asian peoples,বিভক্ত জাতি,একই ভাষার মানুষ দুই দেশের নাগরিক—পাঞ্জাবের গল্প কোথায় বদলে গেল?,সীমান্ত কাগজে আঁকা হলেও স্মৃতি গান ও আত্মীয়তা একদিনে ভাগ হয়নি।,1947 Punjab partition and post-partition identity,Connects another partition to Bengali experience without equating them,Religion language politics and migration shaped a divided Punjab,Partition memory and cross-border kinship,Storytelling,Split archival train and landscape composition,সীমান্ত কি পরিচয় বদলায় নাকি পরিচয়ের নাম বদলায়?,Punjab partition and Punjabi identity,সিন্ধি উদ্বাস্তু পরিচয়,High,Yes
3,Economy,ইতিহাসের অর্থনীতি,বাংলার মসলিন হারাল শুধু কারখানা বন্ধ হয়ে?,আংটির ভেতর দিয়ে যাওয়া কাপড়ের গল্পে বাজার কর প্রযুক্তি ও সাম্রাজ্য একসঙ্গে আছে।,Artisan skill Company trade policy demand and deindustrialisation,Heritage connects to labour and globalisation,Multiple causes are better than a single-villain story,Revival of craft and ethical production,Historical explainer,Muslin weave loom and trade-route texture,ঐতিহ্য হারানোর দায় কি শুধু প্রযুক্তির?,Dhaka muslin history,পাট কীভাবে বাংলার অর্থনীতি বদলাল?,High,Yes
4,Empires states and political transformation,সাম্রাজ্য কীভাবে ভাঙে,মৌর্য সাম্রাজ্য এত বড় ছিল—তবু টিকল না কেন?,সাম্রাজ্য ভাঙে শুধু দুর্বল রাজায় নয় দূরত্ব উত্তরাধিকার ও প্রশাসনের খরচেও।,Mauryan provincial control succession fiscal strain and evidence limits,Readers gain a model for state decline,Large states face recurring centre-periphery problems,Useful comparison for modern state capacity,Historical explainer,Mauryan map with roads and provinces,বড় রাষ্ট্রের সবচেয়ে বড় দুর্বলতা কি তার আকার?,Maurya decline,গুপ্ত সাম্রাজ্য কেন আলাদা পথে ভাঙল?,High,Yes
5,Religion culture and ideas,—,বাংলায় ইসলাম কি শুধু রাজদরবারের মাধ্যমে ছড়িয়েছিল?,নদী কৃষি পীরের খানকা বন্দর ও গ্রামীণ সমাজ বদলটিকে গড়ে দিয়েছিল।,Frontier agrarian expansion Sufi networks and conversion debates,Faith becomes lived social history rather than a court-only story,Religious change had multiple local pathways,Plural religious landscapes and community memory,Myth vs History,Bengal frontier map with settlement layers,ধর্মীয় পরিবর্তন বোঝার সময় রাজনীতি ছাড়াও কী দেখতে হয়?,Islam in Bengal,খানকা ও বাজারের সম্পর্ক,High,Yes
6,Global historical peoples,বিভক্ত জাতি,কুর্দিরা কেন চারটি রাষ্ট্রে ছড়িয়ে গেল?,একটি জাতির ইতিহাসকে শুধু রাষ্ট্র পেল না বললে সাম্রাজ্য চুক্তি ও সীমানা বাদ পড়ে।,Ottoman Persian and post-WWI borders plus Kurdish political diversity,Identity can survive without one state,Frontiers and treaties produced divided political spaces,Modern citizenship and autonomy debates,Border explainer,Four-state map with historical layers,রাষ্ট্র না থাকলেও জাতিসত্তা কীভাবে টিকে থাকে?,Kurdish history and borders,আর্মেনীয়দের রাষ্ট্র ও প্রবাস,High,Yes
7,Bengal & Bangladesh history,যে শহর একসময়…,গৌড় কেন বাংলার রাজধানী থেকে ধ্বংসাবশেষ হলো?,রাজধানী সরে যায় নদী সরে যায় কিন্তু ক্ষমতার পুরোনো ভূদৃশ্য থেকে যায়।,Political relocation river change and competing capitals,Archaeology becomes tangible and local,Urban decline reflects politics and environment,Heritage conservation and regional memory,Before / After,Gaur ruins beside historical route map,রাজধানী বদলালে পুরোনো শহরের কী থাকে?,Gaur history,সোনারগাঁওয়ের উত্থান,High,Yes
8,South Asian peoples,—,আসাম ও বাংলার সীমান্তে ভাষা কীভাবে রাজনীতির প্রশ্ন হলো?,প্রশাসনিক সীমানা বদলালে ভাষা বদলায় না কিন্তু অধিকার বদলাতে পারে।,Colonial reorganisation Sylhet Assam language and migration,Explains persistent border debates,Administrative categories shaped representation,Language citizenship and migration politics,Map explainer,Bengal Assam Sylhet administrative layers,ভাষার মানচিত্র আর প্রশাসনিক মানচিত্র কি এক?,Assam Bengal language border,সিলেট গণভোটের অদৃশ্য দিক,High,Yes
9,Economy,—,চা-বাগান শুধু পাহাড়ের দৃশ্য নয়—শ্রমের ইতিহাসও,কাপের স্বাদ তৈরি হয়েছে জমি চুক্তি অভিবাসন ও শ্রমের সম্পর্ক দিয়ে।,Colonial plantation labour and migration,Daily consumption connects to hidden labour,Plantations depended on controlled labour and land,Tea labour rights and regional inequality,Photo/archive-led,Tea landscape with worker silhouettes,আমরা পণ্যের ইতিহাসে শ্রমিককে কতটা দেখি?,Bengal tea plantations,পাটের বিশ্ববাজার,High,No
10,Borders partition geopolitics,মানচিত্রের পেছনের ইতিহাস,সীমান্তের ভেতর ছিটমহল কেন তৈরি হয়েছিল?,একই গ্রামের মানুষ দুই দেশের কাগজে আটকে ছিল—চুক্তির উত্তরাধিকার জীবন বদলেছিল।,Princely-state enclaves Cooch Behar Rangpur and 2015 settlement,Map anomalies become human stories,State services and citizenship followed inherited borders,Enclave exchange as a borderland legacy,Map carousel,Enclave close-up services and final exchange,মানচিত্রে একটি বিন্দু কি মানুষের জীবন বদলে দিতে পারে?,India Bangladesh enclaves,দহগ্রাম-আঙ্গরপোতা করিডর,High,Yes
