Rank,Figure ID,Name,Role,Group,Event Count,Image,EN Words,BN Words,SEO,Generic Flags,Tier,Priority Score,Recommended Action
1,shah-waliullah-dehlawi,Shah Waliullah Dehlawi,Islamic scholar and reformist intellectual root,leader,0,no,83,76,missing-en-and-bn,0,C,54,add localized SEO title and description; consider an image after editorial review; link to a primary timeline event
2,sheikh-abdur-rahim,Sheikh Abdur Rahim,Journalist and Bengali Muslim literary reformer,leader,0,no,72,60,missing-en-and-bn,0,C,54,add localized SEO title and description; consider an image after editorial review; link to a primary timeline event
3,shibli-nomani,Shibli Nomani,Islamic historian and literary scholar,leader,0,no,69,62,missing-en-and-bn,0,C,54,add localized SEO title and description; consider an image after editorial review; link to a primary timeline event
4,syed-ahmad-khan,Syed Ahmad Khan,Muslim reformer and education modernizer,leader,0,no,62,67,missing-en-and-bn,0,C,54,add localized SEO title and description; consider an image after editorial review; link to a primary timeline event
5,syed-ameer-ali,Syed Ameer Ali,Jurist and Muslim political intellectual,leader,4,yes,59,54,missing-en-and-bn,0,D,54,"expand contribution, context, and impact; add localized SEO title and description"
6,jagat-seth,Jagat Seth,Banking House and Court Financier,organization,5,yes,46,39,missing-en-and-bn,0,D,53,"expand contribution, context, and impact; add localized SEO title and description"
7,mir-jafar,Mir Jafar,Commander and Later Nawab of Bengal,leader,5,yes,52,40,missing-en-and-bn,0,D,53,"expand contribution, context, and impact; add localized SEO title and description"
8,siraj-ud-daulah,Siraj ud-Daulah,Nawab of Bengal,leader,5,yes,56,44,missing-en-and-bn,0,D,53,"expand contribution, context, and impact; add localized SEO title and description"
9,surendranath-banerjea,Surendranath Banerjea,Nationalist Leader and Organizer,leader,5,yes,51,39,missing-en-and-bn,0,D,53,"expand contribution, context, and impact; add localized SEO title and description"
10,dhaka-university-students,Dhaka University Students,Student Collective,collective,7,yes,43,37,missing-en-and-bn,0,D,52,"expand contribution, context, and impact; add localized SEO title and description"
11,ahmad-sofa,Ahmad Sofa,Writer and critic of Bengali Muslim identity,leader,0,yes,81,71,missing-en-and-bn,0,C,46,add localized SEO title and description; link to a primary timeline event
12,bangla-bhai,Siddique ul-Islam (Bangla Bhai),JMJB/JMB militant commander,leader,1,no,73,65,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
13,charu-majumdar,Charu Majumdar,Radical left political organizer,leader,1,no,68,64,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
14,khan-jahan-ali,Khan Jahan Ali,Sufi administrator and regional builder in Bengal,leader,1,no,70,60,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
15,mufti-hannan,Mufti Abdul Hannan,HuJI-B militant leader and convicted attacker,leader,1,no,74,70,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
16,national-citizen-party,National Citizen Party,Student-Led Political Party in Bangladesh,organization,1,no,67,59,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
17,shafiqur-rahman,Shafiqur Rahman,Ameer of Bangladesh Jamaat-e-Islami,leader,1,no,70,58,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
18,shambhu-nath-pal,Shambhu Nath Pal,Pabna peasant organizer,leader,1,no,66,54,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
19,syed-abdullah-mohammad-taher,Syed Abdullah Mohammad Taher,Deputy leader of Bangladesh Jamaat-e-Islami,leader,1,no,63,58,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
20,zainul-abedin,Zainul Abedin,Artist and institution builder,leader,1,no,66,57,missing-en-and-bn,0,C,45,add localized SEO title and description; consider an image after editorial review
21,humayun-mughal,Humayun,Mughal emperor in the Bengal campaign era,leader,2,no,75,61,missing-en-and-bn,0,C,44,add localized SEO title and description; consider an image after editorial review
22,ivy-rahman,Ivy Rahman,Awami League leader and August 21 attack victim,leader,2,no,80,70,missing-en-and-bn,0,C,44,add localized SEO title and description; consider an image after editorial review
23,k-m-obaidur-rahman,K. M. Obaidur Rahman,Politician,leader,2,no,62,49,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
24,kazi-arif-ahmed,Kazi Arif Ahmed,Left political leader,leader,2,no,63,50,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
25,mofazzal-haider-chaudhury,Mofazzal Haider Chaudhury,Academic and intellectual,leader,2,no,63,50,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
26,muhammad-kamaruzzaman,Muhammad Kamaruzzaman,Jamaat leader,leader,2,no,58,45,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
27,rokeya-kabir,Rokeya Kabir,Women rights organizer,leader,2,no,60,47,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
28,selina-parvin,Selina Parvin,Journalist and editor,leader,2,no,60,47,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
29,shah-azizur-rahman,Shah Azizur Rahman,Politician and prime minister,leader,2,no,65,50,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
30,shahidullah-kaiser,Shahidullah Kaiser,Writer and journalist,leader,2,no,60,47,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
31,shamsur-rahman,Shamsur Rahman,Poet and public intellectual,leader,2,no,62,47,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
32,sheikh-fazlul-haque-moni,Sheikh Fazlul Haque Moni,Political organizer,leader,2,no,64,51,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
33,syed-shamsul-haq,Syed Shamsul Haq,Poet and playwright,leader,2,no,63,50,complete,0,D,40,"expand contribution, context, and impact; consider an image after editorial review"
34,altaf-mahmud,Altaf Mahmud,Cultural Activist and Composer of Ekushey Memory,leader,1,yes,82,67,missing-en-and-bn,0,C,37,add localized SEO title and description
35,gulzar-uddin-ahmed,Brigadier General Gulzar Uddin Ahmed,Deputy Director General of Bangladesh Rifles (BDR),leader,1,yes,87,79,missing-en-and-bn,0,C,37,add localized SEO title and description
36,kazi-nazrul-islam,Kazi Nazrul Islam,"Poet, composer, and anti-imperial voice",leader,2,yes,66,54,missing-en-and-bn,0,C,36,add localized SEO title and description
37,michael-madhusudan-dutt,Michael Madhusudan Dutt,Poet-dramatist and pioneer of modern Bengali literary form,leader,2,yes,67,53,missing-en-and-bn,0,C,36,add localized SEO title and description
38,daud-khan-karrani,Daud Khan Karrani,Last major Afghan ruler defeated at Rajmahal,leader,4,yes,68,58,missing-en-and-bn,0,C,34,add localized SEO title and description
39,raja-rammohun-roy,Raja Rammohun Roy,Early reformer and key intellectual of the Bengal Renaissance,leader,4,yes,74,56,missing-en-and-bn,0,C,34,add localized SEO title and description
40,abdul-jabbar,Abdul Jabbar,Patriotic Singer,leader,1,yes,62,48,complete,0,D,33,"expand contribution, context, and impact"
41,abdul-mannan,Abdul Mannan,Freedom Fighter,coordinator,1,yes,57,41,complete,0,D,33,"expand contribution, context, and impact"
42,abdus-samad-azad,Abdus Samad Azad,Senior Awami League Leader,leader,1,yes,61,53,complete,0,D,33,"expand contribution, context, and impact"
43,abu-saleh-mohammad-akram,Abu Saleh Mohammad Akram,Boundary Commission Member,coordinator,1,yes,58,53,complete,0,D,33,"expand contribution, context, and impact"
44,amir-hossain-amu,Amir Hossain Amu,Alliance Politician,leader,1,yes,61,48,complete,0,D,33,"expand contribution, context, and impact"
45,badiul-alam,Badiul Alam,Urban Resistance Fighter,coordinator,1,yes,67,52,complete,0,D,33,"expand contribution, context, and impact"
46,bidhan-chandra-roy,Bidhan Chandra Roy,Congress Leader and Physician-Statesman,leader,1,yes,63,55,complete,0,D,33,"expand contribution, context, and impact"
47,bijan-kumar-mukherjea,Bijan Kumar Mukherjea,Boundary Commission Member,coordinator,1,yes,54,47,complete,0,D,33,"expand contribution, context, and impact"
48,faisal-ahmed-shanto,Faisal Ahmed Shanto,Symbolic martyrs,martyr,1,yes,62,52,complete,0,D,33,"expand contribution, context, and impact"
49,farhan-faiyaaz,Farhan Faiyaaz,Symbolic martyrs,martyr,1,yes,59,50,complete,0,D,33,"expand contribution, context, and impact"
50,fazle-rabbi,Dr Fazle Rabbi,Martyred Physician-Intellectual,martyr,1,yes,64,54,complete,0,D,33,"expand contribution, context, and impact"
51,hamidur-rahman,Hamidur Rahman,Bir Sreshtho (Army Martyr),martyr,1,yes,69,48,complete,0,D,33,"expand contribution, context, and impact"
52,jahanara-imam,Jahanara Imam,Public Moral Voice,leader,1,yes,62,50,complete,0,D,33,"expand contribution, context, and impact"
53,jahangir-alam,Jahangir Alam,Freedom Fighter,coordinator,1,yes,63,40,complete,0,D,33,"expand contribution, context, and impact"
54,jogendranath-mandal,Jogendranath Mandal,Dalit Political Leader,leader,1,yes,61,56,complete,0,D,33,"expand contribution, context, and impact"
55,kamruzzaman-tuku,Kamruzzaman Tuku,Freedom Fighter,coordinator,1,yes,61,47,complete,0,D,33,"expand contribution, context, and impact"
56,kazi-nuruzzaman,Kazi Nuruzzaman,Sector Commander,leader,1,yes,55,45,complete,0,D,33,"expand contribution, context, and impact"
57,kiran-shankar-roy,Kiran Shankar Roy,Congress Leader in Bengal,leader,1,yes,64,52,complete,0,D,33,"expand contribution, context, and impact"
58,mir-madan,Mir Madan,Nawab's artillery commander at Plassey,martyr,1,yes,43,39,complete,0,D,33,"expand contribution, context, and impact"
59,mujahidul-islam-selim,Mujahidul Islam Selim,Left Political Organizer,leader,1,yes,61,51,complete,0,D,33,"expand contribution, context, and impact"
60,nazmul-huq,Nazmul Huq,Pioneering Sector Commander,leader,1,yes,61,47,complete,0,D,33,"expand contribution, context, and impact"
61,nur-hossain,Nur Hossain,Martyr-Symbol of the Movement,leader,1,yes,66,50,complete,0,D,33,"expand contribution, context, and impact"
62,prafulla-chandra-ghosh,Prafulla Chandra Ghosh,First Chief Minister of West Bengal,leader,1,yes,57,46,complete,0,D,33,"expand contribution, context, and impact"
63,riya-gope,Riya Gope,Symbolic martyrs,martyr,1,yes,61,50,complete,0,D,33,"expand contribution, context, and impact"
64,satya-ranjan-bakshi,Satya Ranjan Bakshi,United Bengal Supporter,leader,1,yes,64,54,complete,0,D,33,"expand contribution, context, and impact"
65,shaheed-rudro,Shaheed Rudro,Symbolic martyrs,martyr,1,yes,61,50,complete,0,D,33,"expand contribution, context, and impact"
66,shahnaz-rahmatullah,Shahnaz Rahmatullah,Patriotic Cultural Voice,leader,1,yes,62,52,complete,0,D,33,"expand contribution, context, and impact"
67,shamsul-alam,Shamsul Alam,Resistance Organizer,coordinator,1,yes,62,44,complete,0,D,33,"expand contribution, context, and impact"
68,suranjit-sengupta,Suranjit Sengupta,Parliamentary and Street Opposition Voice,leader,1,yes,59,52,complete,0,D,33,"expand contribution, context, and impact"
69,tahmid-abdullah,Tahmid Abdullah,Symbolic martyrs,martyr,1,yes,60,50,complete,0,D,33,"expand contribution, context, and impact"
70,vallabhbhai-patel,Vallabhbhai Patel,Congress Strategist,leader,1,yes,62,54,complete,0,D,33,"expand contribution, context, and impact"
71,wasim-akram-2024,Wasim Akram,Symbolic martyrs,martyr,1,yes,59,50,complete,0,D,33,"expand contribution, context, and impact"
72,yamin-mist,Yamin,Symbolic martyrs,martyr,1,yes,59,48,complete,0,D,33,"expand contribution, context, and impact"
73,zahid-hossain,Zahid Hossain,Symbolic martyrs,martyr,1,yes,58,50,complete,0,D,33,"expand contribution, context, and impact"
74,abdul-jalil,Abdul Jalil,Politician,leader,2,yes,56,43,complete,0,D,32,"expand contribution, context, and impact"
75,abdul-malek-ukil,Abdul Malek Ukil,Student Activist,leader,2,yes,64,46,complete,0,D,32,"expand contribution, context, and impact"
76,abdur-razzaq-politician,Abdur Razzaq,Politician,leader,2,yes,56,43,complete,0,D,32,"expand contribution, context, and impact"
77,alim-chowdhury,Dr Alim Chowdhury,Martyred Physician-Intellectual,martyr,2,yes,67,49,complete,0,D,32,"expand contribution, context, and impact"
78,binod-bihari-chowdhury,Binod Bihari Chowdhury,Chittagong uprising veteran,leader,2,yes,62,50,complete,0,D,32,"expand contribution, context, and impact"
